problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstm13.mtx          2003 DS   -1 -0.0    nan    nan  512    nan    nan
bcsstm13.mtx          2003 DS   -1 -0.0    nan    nan 1024    nan    nan
bcsstm13.mtx          2003 DS   -1 -0.0    nan    nan 2048    nan    nan
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstm21.mtx          3600 LL    0  2.0    0.0    0.0  256    0.0    0.0
bcsstm21.mtx          3600 LL    0  2.0    0.0    0.0  512    0.1    0.1
bcsstm21.mtx          3600 LL    0  2.0    0.0    0.0 1024    0.2    0.2
bcsstm21.mtx          3600 LL    0  2.0    0.0    0.0 2048    0.4    0.4
bcsstm21.mtx          3600 LU    0  2.0    0.0    0.0  256    0.0    0.0
bcsstm21.mtx          3600 LU    0  2.0    0.0    0.0  512    0.1    0.1
bcsstm21.mtx          3600 LU    0  2.0    0.0    0.0 1024    0.2    0.2
bcsstm21.mtx          3600 LU    0  2.0    0.0    0.0 2048    0.4    0.4
bcsstm21.mtx          3600 DS   24 900.0    0.2    0.3  256    0.2    0.3
bcsstm21.mtx          3600 DS   24 900.0    0.2    0.3  512    0.3    0.6
bcsstm21.mtx          3600 DS   24 900.0    0.2    0.3 1024    1.6    2.3
bcsstm21.mtx          3600 DS   24 900.0    0.2    0.3 2048    1.3    2.4
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstm23.mtx          3134 LL    0  2.0    0.0    0.0  256    0.0    0.0
bcsstm23.mtx          3134 LL    0  2.0    0.0    0.0  512    0.1    0.1
bcsstm23.mtx          3134 LL    0  2.0    0.0    0.0 1024    0.1    0.1
bcsstm23.mtx          3134 LL    0  2.0    0.0    0.0 2048    0.4    0.4
bcsstm23.mtx          3134 LU    0  2.0    0.0    0.0  256    0.0    0.0
bcsstm23.mtx          3134 LU    0  2.0    0.0    0.0  512    0.1    0.1
bcsstm23.mtx          3134 LU    0  2.0    0.0    0.0 1024    0.1    0.1
bcsstm23.mtx          3134 LU    0  2.0    0.0    0.0 2048    0.4    0.4
bcsstm23.mtx          3134 DS   18 783.5    0.2    0.3  256    0.1    0.2
